nombre_cancion;nombre_artista
LA CANCION;J Balvin & Bad Bunny
Cavernicolas;Ricardo Arjona
El amor;Ricardo Arjona
A partir de hoy;David Bisbal y Sebastian Yatra
Secreto;Karol G
Eres tu;Matisse y Reik
Solamente tu;Pablo Alboran
Loco;Enrique Iglesias y Romeo Santos
Corazon sin cara;Prince Royce
Una lady como tu;Manuel Turizo
Rimas pa seducir;Cultura Profetica
Te adorare;Ricardo Montaner
Amantes;Greeicy
Vaina loca;Ozuna
Darte un beso;Prince Royce
Imposible;Luis Fonsi
Estoy enamorado;Thalia
11 PM;Maluma
Creo en ti ;Reik
Adicto;Tainy
Volvi a nacer;Carlos Vives
Lo mejor de mi vida eres tu;Ricky Martin
Cuando me enamoro;Enrique Iglesias y Juan Luis Guerra
Me rehuso;Danny Ocean
La mejor version de mi remix;Natti Natasha
El verdadero amor perdona;Mana
Disfruto;Carla Morrison
Robarte un beso;Carlos Vives y Sebastian Yatra
Imaginandote;Reykon y Daddy Yankee
Un besito mas;Jesse y Joy
